aria-label,item-type,item-id,img-link,src-rect,item-type-number
"FRUITOPIA or NESTEA, , $3.99",flyer-item,807486812,https://sf.flipp.com/items/1234.sfml,21078.725 672.93 226.69900000000052 263.51300000000003,1
"Yogurt, , $3.99 EACH WHEN YOU BUY 2 OR MORE.",flyer-item,807486813,https://sf.flipp.com/items/1234.sfml,21305.424 118.001 226.69900000000052 283.66499999999996,1
"Aerosol Whipped Cream, , $3.99",flyer-item,807486814,https://sf.flipp.com/items/1234.sfml,21305.424 401.666 226.69900000000052 271.26399999999995,1
"Coffee Creamers, , $4.49",flyer-item,807486815,https://sf.flipp.com/items/1234.sfml,21305.424 672.93 226.69900000000052 263.51300000000003,1
"Snacks, , $2.99 with Scene+ Card",flyer-item,807486816,https://sf.flipp.com/items/1234.sfml,20623.7766 1016.14 229.41139999999723 270.2400000000001,1
"KELLOGG'S Family Size Cereals, , $5.99",flyer-item,807486817,https://sf.flipp.com/items/1234.sfml,20623.7766 1286.38 229.41139999999723 270.2299999999998,1
"WEIGHT WATCHERS Bread, , $4.79",flyer-item,807486818,https://sf.flipp.com/items/1234.sfml,20853.188 1016.14 229.41200000000026 270.2400000000001,1
"Peanut Butter, , $6.99",flyer-item,807486819,https://sf.flipp.com/items/1234.sfml,20853.188 1286.38 229.41200000000026 270.2299999999998,1
"COMPLIMENTS Worchestershire Sauce, , $2.79",flyer-item,807486820,https://sf.flipp.com/items/1234.sfml,21082.6 1016.14 229.41200000000026 270.2400000000001,1
"Supermoist Cake Mix, , $2.49",flyer-item,807486821,https://sf.flipp.com/items/1234.sfml,21082.6 1286.38 229.41200000000026 270.2299999999998,1
"ORIGINAL Converted Rice, , $5.49",flyer-item,807486822,https://sf.flipp.com/items/1234.sfml,21082.6 1556.61 229.41200000000026 270.23,1
"MAILLE Dijon or Old Fashioned Mustard, , $4.49",flyer-item,807486823,https://sf.flipp.com/items/1234.sfml,21312.012 1016.14 229.41200000000026 270.2400000000001,1
"Whipped or Deluxe Frosting, , $3.49",flyer-item,807486824,https://sf.flipp.com/items/1234.sfml,21312.012 1286.38 229.41200000000026 270.2299999999998,1
"Panko Bread Crumbs, , $3.48",flyer-item,807486825,https://sf.flipp.com/items/1234.sfml,21312.012 1556.61 229.41200000000026 270.23,1
"COMPLIMENTS Cheese, , $5.99",flyer-item,807486826,https://sf.flipp.com/items/1234.sfml,20634.6272 1918.63 218.5607999999993 260.4200000000001,1
"COMPLIMENTS Tomato Juice, , $3.49",flyer-item,807486827,https://sf.flipp.com/items/1234.sfml,20853.188 1907.78 223.21200000000317 271.2700000000002,1
"COMPLIMENTS Thin Crust or Hand Finished Pizza, 75 Scene+ PTS when you buy 1, ",flyer-item,807486828,https://sf.flipp.com/items/1234.sfml,21076.4 1907.78 224.7609999999986 266.6200000000001,1
"COMPLIMENTS Frozen Vegetables, , $3.99",flyer-item,807486829,https://sf.flipp.com/items/1234.sfml,21301.161 1904.68 223.21199999999953 269.72,1
"COMPLIMENTS Potato Chips or Extraaa! Flavour Chips, , $2.29 EACH WHEN YOU BUY 3 OR MORE.",flyer-item,807486830,https://sf.flipp.com/items/1234.sfml,20639.2774 2182.15 289.8646000000008 257.30999999999995,1
"COMPLIMENTS Rice Crackers, , 2/ $5",flyer-item,807486831,https://sf.flipp.com/items/1234.sfml,20929.142 2185.25 296.0649999999987 254.21000000000004,1
"COMPLIMENTS Spirited Mickie BBQ Sauce, , $3.49",flyer-item,807486832,https://sf.flipp.com/items/1234.sfml,21225.207 2185.25 297.6160000000018 254.21000000000004,1
"Chunky Soup, 200 Scene+ PTS when you buy 6, 2/ $7",flyer-item,807486833,https://sf.flipp.com/items/1234.sfml,20599.38636 1588.07 247.44364000000132 243.75,1
"CLOVER LEAF Cocktail Shrimp, , $5.49",flyer-item,807486834,https://sf.flipp.com/items/1234.sfml,20846.83 1591.76 232.66999999999825 240.05999999999995,1
"Panko Bread Crumbs, , $3.48",flyer-item,807486835,https://sf.flipp.com/items/1234.sfml,21605.8568 416.323 444.0781999999999 625.407,1
"Coconut Milk, , 2/ $4.98",flyer-item,807486836,https://sf.flipp.com/items/1234.sfml,22049.935 471.833 521.7949999999983 569.8969999999999,1
"Potsticker or Dumplings, , $5.98",flyer-item,807486837,https://sf.flipp.com/items/1234.sfml,22590.23 619.859 629.1100000000006 610.611,1
"Mayonnaise, , $6.48",flyer-item,807486838,https://sf.flipp.com/items/1234.sfml,21602.1562 1123.15 462.58179999999993 714.2199999999998,1
"BLUE DRAGON Spring Roll Wraps, , $3.98",flyer-item,807486839,https://sf.flipp.com/items/1234.sfml,22075.839 1093.54 532.8909999999996 358.97,1
"Oyster Sauce, , $2.98",flyer-item,807486840,https://sf.flipp.com/items/1234.sfml,22775.26 1289.68 362.6700000000019 381.15999999999985,1
"Asian Pear, , $1.88 /lb",flyer-item,807486841,https://sf.flipp.com/items/1234.sfml,21616.9588 2033.51 432.976200000001 488.4799999999998,1
"Pomelo, , $2.88",flyer-item,807486842,https://sf.flipp.com/items/1234.sfml,22049.935 1996.5 595.8050000000003 525.4899999999998,1
"Shrimp Dim Sum or Crab Rangoon, Get 100 Scene+ PTS when you buy 1 or Get 300 Scene+ PTS when you buy 2 or Get 600 Scene+ PTS when you buy 3, $8.99",flyer-item,807486843,https://sf.flipp.com/items/1234.sfml,22671.64 1896.58 592.1100000000006 625.4099999999999,1
"BLUE DRAGON Spring Roll Wraps, , $3.98",flyer-item,807486839,https://sf.flipp.com/items/1234.sfml,22079.54 1493.21 299.7530000000006 288.64999999999986,1
"Oyster Sauce, , $2.98",flyer-item,807486840,https://sf.flipp.com/items/1234.sfml,22468.108 1763.36 566.2020000000011 140.62000000000012,1
"Bathroom Tissue, 200 Scene+ PTS when you buy 2, $7.99",flyer-item,807486844,https://sf.flipp.com/items/1234.sfml,23305.6475 126.487 229.7544999999991 283.014,1
"TIDY CATS Lightweight Cat Litter, , $21.99",flyer-item,807486845,https://sf.flipp.com/items/1234.sfml,23305.6475 409.501 229.7544999999991 262.02200000000005,1
"Beads, 300 Scene+ PTS when you buy 2, $12.99",flyer-item,807486846,https://sf.flipp.com/items/1234.sfml,23305.6475 671.523 229.7544999999991 262.02099999999996,1
"COMPLIMENTS Facial Tissues, , $8.99",flyer-item,807486847,https://sf.flipp.com/items/1234.sfml,23535.402 126.487 229.75500000000102 283.014,1
"Dry Dog Food, , $13.49",flyer-item,807486848,https://sf.flipp.com/items/1234.sfml,23535.402 409.501 229.75500000000102 262.02200000000005,1
"Bleach, 200 Scene+ PTS when you buy 2, $3.99",flyer-item,807486849,https://sf.flipp.com/items/1234.sfml,23535.402 671.523 229.75500000000102 262.02099999999996,1
"Napkins, , $2.49",flyer-item,807486850,https://sf.flipp.com/items/1234.sfml,23765.157 126.487 229.75500000000102 283.014,1
"IAMS Perfect Portions Wet Cat Food, , 3/ $5",flyer-item,807486851,https://sf.flipp.com/items/1234.sfml,23765.157 409.501 229.75500000000102 262.02200000000005,1
"Pods, 300 Scene+ PTS when you buy 2, $13.49",flyer-item,807486852,https://sf.flipp.com/items/1234.sfml,23765.157 671.523 229.75500000000102 262.02099999999996,1
"COMPLIMENTS Freezer Bags M - L, , $4.79",flyer-item,807486853,https://sf.flipp.com/items/1234.sfml,23994.912 126.487 229.75500000000102 283.014,1
"COMPLIMENTS Wet Dog Food, , $1.49 EACH WHEN YOU BUY 3 OR MORE.",flyer-item,807486854,https://sf.flipp.com/items/1234.sfml,23994.912 409.501 229.75500000000102 262.02200000000005,1
"SODASTREAM Terra Kit, , $79.99",flyer-item,807486855,https://sf.flipp.com/items/1234.sfml,23994.912 671.523 229.75500000000102 262.02099999999996,1
"LIVE CLEAN Hand Soap, , $4.99",flyer-item,807486856,https://sf.flipp.com/items/1234.sfml,23303.315 1003.52 230.9210000000021 299.3399999999999,1
"Mouthwash, 150 Scene+ PTS when you buy 2, $9.99",flyer-item,807486857,https://sf.flipp.com/items/1234.sfml,23303.315 1302.86 230.9210000000021 262.0200000000002,1
"Super Pack, 500 Scene+ PTS when you buy 2, $28.99",flyer-item,807486858,https://sf.flipp.com/items/1234.sfml,23303.315 1564.88 230.9210000000021 280.6899999999998,1
"Foam Bath, , $9.99",flyer-item,807486859,https://sf.flipp.com/items/1234.sfml,23534.236 1003.52 230.92099999999846 299.3399999999999,1
"Body Wash, 100 Scene+ PTS when you buy 1, $7.99",flyer-item,807486860,https://sf.flipp.com/items/1234.sfml,23534.236 1302.86 230.92099999999846 262.0200000000002,1
"Baby Wipes, , $9.99",flyer-item,807486861,https://sf.flipp.com/items/1234.sfml,23534.236 1564.88 230.92099999999846 280.6899999999998,1
"Body Wash, 250 Scene+ PTS when you buy 2, $5.99",flyer-item,807486862,https://sf.flipp.com/items/1234.sfml,23765.157 1003.52 230.9210000000021 299.3399999999999,1
"Deodorant, 300 Scene+ PTS when you buy 2, $7.99",flyer-item,807486863,https://sf.flipp.com/items/1234.sfml,23765.157 1302.86 230.9210000000021 262.0200000000002,1
"Mealtime Bowls, 100 Scene+ PTS when you buy 2, $3.49 EACH WHEN YOU BUY 2 OR MORE.",flyer-item,807486864,https://sf.flipp.com/items/1234.sfml,23765.157 1564.88 230.9210000000021 280.6899999999998,1
"Skincare, 10% off, 100 Scene+ PTS when you buy 2, ",flyer-item,807486865,https://sf.flipp.com/items/1234.sfml,23996.078 1003.52 230.92099999999846 299.3399999999999,1
"Body Lotion, 10% off, 100 Scene+ PTS when you buy 2, ",flyer-item,807486866,https://sf.flipp.com/items/1234.sfml,23996.078 1302.86 230.92099999999846 262.0200000000002,1
"COMPLIMENTS Baby Wipes, , $3.49",flyer-item,807486867,https://sf.flipp.com/items/1234.sfml,23996.078 1564.88 230.92099999999846 280.6899999999998,1
"Extra Strength Caplets or Gel Caps, 10% off, ",flyer-item,807486868,https://sf.flipp.com/items/1234.sfml,23304.7766 1918.63 227.86139999999796 263.50999999999976,1
"POISE Pads or DEPEND Underwear, 15% off, 150 Scene+ PTS when you buy 2, ",flyer-item,807486869,https://sf.flipp.com/items/1234.sfml,23532.638 1901.58 229.41200000000026 280.55999999999995,1
"TYLENOL Pain Relief, 15% off, 200 Scene+ PTS when you buy 2, ",flyer-item,807486870,https://sf.flipp.com/items/1234.sfml,23762.05 1901.58 220.1110000000008 283.65999999999985,1
"TYLENOL or BENYLIN Cough, Cold & Flu, 10% off, 200 Scene+ PTS when you buy 2, ",flyer-item,807486871,https://sf.flipp.com/items/1234.sfml,23982.161 1856.62 251.1130000000012 328.6199999999999,1
"Condoms, 15% off, ",flyer-item,807486872,https://sf.flipp.com/items/1234.sfml,23300.1264 2192.99 238.71259999999893 265.0600000000004,1
"Meal Replacement, 15% off, 500 Scene+ PTS when you buy 3, ",flyer-item,807486873,https://sf.flipp.com/items/1234.sfml,23538.839 2182.14 220.1110000000008 275.9100000000003,1
"Voilà, , ",flyer-item,807486874,https://sf.flipp.com/items/1234.sfml,24259.0983 12.9552 2534.1016999999993 2530.4048000000003,5
"ROYAL CHINET, , $2.49",flyer-item,807486875,https://sf.flipp.com/items/1234.sfml,26905.8852 716.617 284.33380000000034 314.63300000000004,1
"10.38"" Dinner Plates, , $11.49",flyer-item,807486876,https://sf.flipp.com/items/1234.sfml,26938.514 1126.8 286.66400000000067 265.69000000000005,1
"6.75"" Dessert Plates, , $4.99",flyer-item,807486877,https://sf.flipp.com/items/1234.sfml,27288.104 952.008 302.97799999999916 254.03199999999993,1
"8.75"" Lunch Plates, , $8.49",flyer-item,807486878,https://sf.flipp.com/items/1234.sfml,27309.079 434.615 314.6309999999976 226.06799999999998,1
"WALTER Caesar Mix, , $7.99",flyer-item,807486879,https://sf.flipp.com/items/1234.sfml,27679.503 379.317 747.5269999999982 1021.383,1
"MCCAFÉ Premium Roast K-Cup® Pods, 300 Scene+ PTS when you buy 1, ",flyer-item,807486880,https://sf.flipp.com/items/1234.sfml,26906.0672 1452.51 751.2317999999977 877.05,1
"Frozen Entrées, , $1.99",flyer-item,807486881,https://sf.flipp.com/items/1234.sfml,27686.905 1504.31 747.5349999999999 958.4700000000003,1
"10.38"" Dinner Plates, , $11.49",flyer-item,807486876,https://sf.flipp.com/items/1234.sfml,27269.459 1236.34 309.97000000000116 128.18000000000006,1
"6.75"" Dessert Plates, , $4.99",flyer-item,807486877,https://sf.flipp.com/items/1234.sfml,27467.56 781.874 179.4559999999983 160.812,1
"8.75"" Lunch Plates, , $8.49",flyer-item,807486878,https://sf.flipp.com/items/1234.sfml,27255.475 686.32 167.8040000000001 184.11699999999996,1
"Novelties, , $5.99 ea",flyer-item,807486882,https://sf.flipp.com/items/1234.sfml,28534.3536 183.182 736.4294000000009 618.009,1
"Drumstick, , $5.99 ea",flyer-item,807486883,https://sf.flipp.com/items/1234.sfml,29270.783 90.6659 888.1569999999992 710.5251000000001,1
"Frozen Dessert, , $5.99 ea",flyer-item,807486884,https://sf.flipp.com/items/1234.sfml,28534.3536 1552.42 751.2324000000008 814.1500000000001,1
"REAL DAIRY Ice Cream, , $5.99 ea",flyer-item,807486885,https://sf.flipp.com/items/1234.sfml,29285.586 1533.92 836.344000000001 832.6500000000001,1
"Raised Without Antibiotics or Deli Best Deli Meats, Buy 350 g or more of SCHNEIDERS Raised Without Antibiotics or Deli Best Deli Meats at our deli counter and Get 100 Scene+ PTS and a FREE Le Sauciflard 300 g, ",flyer-item,807486886,https://sf.flipp.com/items/1234.sfml,30278.6667 109.333 2373.3332999999984 2367.997,1
"Subscribe now, , ",flyer-item,807486887,https://sf.flipp.com/items/1234.sfml,32796.6371 16.6443 2155.4228999999978 2521.4357,5
